subject	fix_target	ms rate	ms displacement	drift displacement	drift path length	drift speed	BCEA
P3	Bessel	1.066963665	0.127348403	0.092950294	0.628295426	0.612635684	0.015890103
P3	Circle	0.633101136	0.241945684	0.208462658	1.083379537	0.629498134	0.039930912
P3	CircleCrossPoint	1.100069655	0.167515379	0.092540065	0.618289315	0.606547602	0.020489438
P3	Gaussian	1.233411431	0.243999662	0.130412123	0.576418838	0.655643773	0.044706218
P3	Point	0.933442619	0.150933768	0.110696269	0.707435778	0.606328643	0.020505635
P3	Bessel	1.066676668	0.107078324	0.090287418	0.889446455	0.816645675	0.012894399
P3	Circle	0.833520389	0.272975903	0.164707136	0.893850622	0.655373441	0.07256839
P3	CircleCrossPoint	1.567186874	0.158439273	0.088220189	0.577067708	0.783697883	0.024421649
P3	Gaussian	1.066791371	0.257022	0.137523419	0.777374936	0.740240902	0.045280672
P3	Point	1.100010314	0.218730563	0.104945293	0.718728255	0.673934037	0.020622146
P2	Bessel	1.049823423	0.210972431	0.106959013	0.653140846	0.621191333	0.020838731
P2	Circle	0.833520541	0.375706096	0.146795583	0.885098255	0.590741557	0.053750994
P2	CircleCrossPoint	0.866581775	0.387382766	0.103958698	0.763828477	0.565387249	0.084476115
P2	Gaussian	0.333157412	0.459632751	0.310725036	2.007332299	0.532694811	0.069437954
P2	Point	1.000063322	0.318704251	0.150235475	0.766041969	0.6007146	0.050004876
P2	Bessel	1.066906292	0.206117563	0.072812406	1.124276612	0.943218177	0.021814373
P2	Circle	0.400111374	0.306495803	0.110346162	2.526983406	0.797966009	0.029582432
P2	CircleCrossPoint	1.533430428	0.212745427	0.082987294	1.264988167	1.513780874	0.035593392
P2	Gaussian	0.700760156	0.253885665	0.121856544	1.501089837	0.88120398	0.031752194
P2	Point	1.13383181	0.202201042	0.094596496	1.012671817	0.926102422	0.024463245
P1	Bessel	1.533183419	0.112774199	0.113543786	0.977131505	1.232539394	0.018855177
P1	Circle	1.066791759	0.217798738	0.147140571	1.265495634	1.118744224	0.020417211
P1	CircleCrossPoint	1.766778858	0.190043076	0.117343051	0.876270303	1.189718713	0.019129128
P1	Gaussian	1.133344373	0.16295677	0.115096588	1.221465778	1.148683888	0.017137513
P1	Point	1.900836027	0.198789383	0.096723122	0.70533231	1.102547981	0.021939141
P1	Bessel	1.600015294	0.159499999	0.126243618	1.171232478	1.48168467	0.022696253
P1	Circle	1.367047196	0.41294784	0.131602464	1.549570463	1.368432848	0.061110036
P1	CircleCrossPoint	2.033352769	0.240564703	0.120318683	0.963455477	1.458236672	0.03608476
P1	Gaussian	0.933091437	0.216723549	0.204800807	1.822333774	1.351970469	0.018947367
P1	Point	2.000126645	0.23190978	0.121613701	0.899936305	1.373079194	0.038748595
P3	Bessel	1.39963741	0.13926314	0.096255358	1.112044324	1.255514466	0.021165556
P3	Circle	0.833431062	0.242612351	0.172413523	2.029374005	1.403771181	0.074234215
P3	CircleCrossPoint	1.666862124	0.176565665	0.097349613	0.963604897	1.315716298	0.025399243
P3	Gaussian	1.266747106	0.248401483	0.14089444	1.140648347	1.205373111	0.050477596
P3	Point	1.633261438	0.18739107	0.091791258	0.829524516	1.104633221	0.036153585
P3	Bessel	1.363381652	0.26293387	0.149649597	0.654725175	0.754262024	0.050543856
P3	Circle	1.432731099	0.155714829	0.105349799	0.695110208	0.832219684	0.023986014
P3	CircleCrossPoint	1.566597706	0.169409892	0.100956302	0.556454044	0.741911182	0.019710582
P3	Gaussian	1.533430707	0.155885729	0.094954191	0.692315861	0.89568818	0.017810128
P3	Point	1.033065708	0.221235536	0.170102878	0.788883999	0.738501403	0.052258727
P1	Bessel	1.899201344	0.163049935	0.090626843	0.356092419	0.641497128	0.020808029
P1	Circle	1.599413396	0.339927549	0.099478766	0.46610158	0.641684157	0.040360687
P1	CircleCrossPoint	1.700107648	0.137602728	0.087649659	0.372487072	0.616393316	0.011097947
P1	Gaussian	1.132978709	0.155185599	0.142884158	0.581074307	0.634328978	0.012095894
P1	Point	1.700656247	0.123428336	0.084445736	0.392565416	0.658637056	0.013752301
P1	Bessel	1.767253605	0.11935941	0.094239386	0.399247904	0.679838871	0.011866168
P1	Circle	1.66614516	0.294993789	0.112047472	0.476194815	0.692765037	0.04446989
P1	CircleCrossPoint	1.766683553	0.152853001	0.104797209	0.41775374	0.685383784	0.019322008
P1	Gaussian	1.100483815	0.233195209	0.195255648	0.665132101	0.676308863	0.017287709
P1	Point	1.700107648	0.15895071	0.105144021	0.457043145	0.675959651	0.016021667
P3	Bessel	1.366753456	0.157640247	0.108812441	0.770848262	0.886533503	0.024799711
P3	Circle	1.300082556	0.188581243	0.141699513	1.071857475	1.164598434	0.031354069
P3	CircleCrossPoint	1.800114308	0.149430574	0.109072553	0.630805061	0.965994549	0.030827065
P3	Gaussian	1.865882362	0.229540559	0.108664399	0.809606867	1.216546975	0.040230455
P3	Point	1.633524881	0.149507365	0.105342602	1.645953292	2.130807994	0.023900059
P3	Bessel	1.53334799	0.152896233	0.090126023	0.699679518	0.922951349	0.02409256
P3	Circle	1.300292044	0.234014379	0.129642668	0.874069165	0.97192663	0.079820173
P3	CircleCrossPoint	1.8338438	0.181878464	0.096032942	0.639397992	1.001241629	0.031560784
P3	Gaussian	1.666055621	0.20437447	0.125796617	0.63217836	0.898264242	0.057332773
P3	Point	1.766778536	0.229813346	0.115666288	0.593292689	0.885413161	0.075224683
P2	Bessel	0.898993664	0.137581257	0.107112313	0.642120668	0.530560513	0.017866476
P2	Circle	0.43331418	0.353391501	0.178814825	1.325282943	0.537900983	0.037446897
P2	CircleCrossPoint	1.266883099	0.258016399	0.084667336	0.515477948	0.55960459	0.035393137
P2	Gaussian	0.500031661	0.330235902	0.134001525	1.256119829	0.546940652	0.032520666
P2	Point	0.53374015	0.167185391	0.164543431	1.105142846	0.542933145	0.02161942
P2	Bessel	1.533430428	0.179608623	0.079882898	0.428943965	0.571531664	0.021930641
P2	Circle	1.200527798	0.216018783	0.085983293	0.543875278	0.561227404	0.057043919
P2	CircleCrossPoint	1.467390675	0.21703335	0.087909936	0.516127846	0.645783637	0.040424206
P2	Gaussian	1.466996152	0.256973742	0.090226926	0.486809598	0.627765986	0.045150737
P2	Point	1.466523004	0.247316393	0.066413666	0.460319141	0.5340801	0.023296032
P1	Bessel	1.766778536	0.102865124	0.092088722	0.521733267	0.7877729	0.010135402
P1	Circle	1.866584161	0.2471705	0.125602028	0.564871798	0.776377494	0.037995844
P1	CircleCrossPoint	1.566850111	0.119061864	0.102380606	0.535823831	0.727599218	0.019104752
P1	Gaussian	1.766588581	0.28378131	0.133904311	0.591532444	0.818193455	0.036444713
P1	Point	1.566934359	0.155441951	0.097900965	0.533898298	0.697257505	0.016322262
P1	Bessel	1.766208792	0.118900575	0.08464434	0.449067748	0.694115753	0.011592461
P1	Circle	1.266678774	0.231193807	0.108966046	0.638142579	0.669071887	0.027329475
P1	CircleCrossPoint	1.63343676	0.137993641	0.110010362	0.498992236	0.710453945	0.013837031
P1	Gaussian	1.333202731	0.24823896	0.123226752	0.575793623	0.698367699	0.029641114
P1	Point	1.801469926	0.127227927	0.100310515	0.441071952	0.707902064	0.013592031
P6	Bessel	1.366753456	0.12671411	0.062230594	0.530329835	0.717993035	0.021445327
P6	Circle	1.266747106	0.190222003	0.074756952	0.623905437	0.757199812	0.048915882
P6	CircleCrossPoint	1.099892453	0.150956435	0.068750996	0.712165194	0.738589951	0.028823871
P6	Gaussian	1.133283447	0.276738865	0.115820512	0.670344813	0.809592759	0.09830489
P6	Point	1.533430707	0.214855581	0.067530778	0.481965829	0.753082794	0.046222561
P6	Bessel	1.033454517	0.127879851	0.067736829	0.730027959	0.721286962	0.020361323
P6	Circle	1.033176766	0.185558716	0.070347246	0.727646707	0.74166423	0.042411145
P6	CircleCrossPoint	1.133405305	0.202222383	0.083422668	0.731623858	0.721077483	0.036649856
P6	Gaussian	1.466680953	0.278474493	0.104806368	0.532661334	0.77447773	0.105187634
P6	Point	1.4322693	0.231948008	0.08445962	0.510696326	0.71593154	0.041524466
P6	Bessel	1.40061602	0.186191621	0.068903477	0.527926643	0.693819099	0.034502549
P6	Circle	1.172033811	0.161705691	0.077361341	0.599548929	0.663323231	0.028195549
P6	CircleCrossPoint	1.534585771	0.143307843	0.063967629	0.465073027	0.690449336	0.024160599
P6	Gaussian	1.633349243	0.204058991	0.082836185	0.432306168	0.690285516	0.051866071
P6	Point	1.36844562	0.109279835	0.065905811	0.519211281	0.661097832	0.019784431
P5	Bessel	1.664267159	0.148080922	0.083188574	0.350863727	0.573740012	0.015429093
P5	Circle	1.836115086	0.244840182	0.096761816	0.327971781	0.627359967	0.056056146
P5	CircleCrossPoint	1.733070704	0.160109732	0.074414436	0.337539446	0.572183603	0.020900011
P5	Gaussian	1.866684849	0.247874952	0.097008755	0.343840369	0.637051877	0.043288267
P5	Point	1.501144444	0.154642513	0.087725225	0.387920259	0.569651002	0.01744364
P5	Bessel	2.533629967	0.181721145	0.072576488	0.254078229	0.620286919	0.018910748
P5	Circle	1.600445498	0.271431154	0.101329329	0.378490964	0.595619114	0.054212782
P5	CircleCrossPoint	2.433356592	0.161707275	0.088134113	0.279644946	0.669308208	0.023418872
P5	Gaussian	1.400239215	0.214903509	0.103708882	0.43759964	0.585826769	0.033345725
P5	Point	2.435844687	0.194491359	0.078719215	0.251838382	0.628752692	0.04443549
P5	Bessel	2.533358009	0.16783285	0.081152134	0.271604839	0.63803035	0.029905797
P5	Circle	2.63236836	0.237355963	0.092347195	0.273599193	0.69736384	0.07136481
P5	CircleCrossPoint	2.466292925	0.174831771	0.076539641	0.275327253	0.708937997	0.027049622
P5	Gaussian	3.433551365	0.250527853	0.087796424	0.242257638	0.883551008	0.066366587
P5	Point	2.200258003	0.157084191	0.079215515	0.309227927	0.658809642	0.020983983
P4	Bessel	2.233474754	0.327619314	0.148619241	0.362712663	0.716790444	0.040788765
P4	Circle	1.200075987	0.49606319	0.164374678	0.623476051	0.609600126	0.07860731
P4	CircleCrossPoint	3.333544408	0.400008729	0.146879544	0.289511942	0.863105116	0.063347692
P4	Gaussian	2.000126645	0.547680718	0.16724483	0.399077987	0.700149651	0.122197592
P4	Point	2.300269312	0.365171475	0.142146578	0.331850232	0.688333996	0.041359871
P4	Bessel	2.266688333	0.308631644	0.151040055	0.380896636	0.727054508	0.040283537
P4	Circle	2.833360416	0.491097529	0.170516491	0.412124597	1.066010316	0.128329665
P4	CircleCrossPoint	2.133468421	0.315437887	0.209950853	0.421318001	0.778805833	0.055729177
P4	Gaussian	2.500292731	0.440541043	0.156847154	0.388406755	0.820678837	0.09557008
P4	Point	3.433366151	0.339104157	0.154988129	0.326776531	1.109524483	0.101073623
P4	Bessel	1.665787364	0.296385347	0.152301219	0.418581099	0.630217286	0.025264122
P4	Circle	2.199666663	0.515147913	0.1690128	0.428822658	0.738515255	0.087309743
P4	CircleCrossPoint	3.86670433	0.366157482	0.170857934	0.318465152	1.161312963	0.113081016
P4	Gaussian	1.234606436	0.40362249	0.294062164	0.682877729	0.682787472	0.044073406
P4	Point	1.733443408	0.301416469	0.135159586	0.443337623	0.660115521	0.037311047
